NEWS CHANNEL,#genre#
100 % NEWS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/16041/index.m3u8
360° HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7254/index.m3u8
ABC News AU,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6120/index.m3u8
Al Jazeera,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/960/index.m3u8
BBC NEWS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/545/index.m3u8
BNN Bloomberg HD CA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6465/index.m3u8
CBC News Network HD CA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6442/index.m3u8
CBS New York,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/903/index.m3u8
CGTN,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/830/index.m3u8
CGTN orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9217/index.m3u8
CGTN Русский,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9223/index.m3u8
CNBC,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6482/index.m3u8
CNBC,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/962/index.m3u8
CNN,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6499/index.m3u8
CNN,http://213.226.69.130/iptv/D6F3GPB9FFSHNY/6538/index.m3u8
CNN INTL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31301/index.m3u8
CP 24 CA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6501/index.m3u8
Euronews Россия,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/828/index.m3u8
Euronews Россия orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9215/index.m3u8
FOX NEWS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19147/index.m3u8
FRANCE 24 En,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31318/index.m3u8
NHK World TV,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/729/index.m3u8
RT Doc orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9220/index.m3u8
RT NEWS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/840/index.m3u8
Sky News UK,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2475/index.m3u8

WORLD SPORTS,#genre#
Arena Sport 1 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31602/index.m3u8
Arena Sport 3 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31603/index.m3u8
Arena Sport 3 Premium RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31604/index.m3u8
Arena Sport 4 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31605/index.m3u8
Arena Sport 5 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31606/index.m3u8
